Model,OS,Chipset,CPU,GPU,Ram/ROM,Battery
Cat S31,Android 7.0 (Nougat),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.3 GHz Cortex-A7,Adreno 304,16GB 2GB RAM,Non-removable Li-Ion 4000 mAh battery
Cat S61,"Android 8.0 (Oreo), upgradable to Android 9.0 (Pie)",Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core 2.2 GHz Cortex-A53,Adreno 508,64GB 4GB RAM,Non-removable Li-Ion 4500 mAh battery
Cat S60,Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.2 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Adreno 405,32GB 3GB RAM,Non-removable Li-Ion 3800 mAh battery
Sharp Aquos Zero,Android 9.0 (Pie),Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,128GB 6GB RAM,Non-removable Li-Ion 3130 mAh battery
Sharp Aquos R2 compact,Android 9.0 (Pie),Qualcomm SDM845 Snapdragon 845 (10 nm),Octa-core (4x2.6 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,64GB 4GB RAM,Non-removable Li-Ion 2500 mAh battery
Sharp Aquos D10,Android 8.0 (Oreo); Sharp UI,Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core (4x2.6 GHz Cortex-A53 & 4x1.8 GHz Cortex A53),Adreno 508,64GB 4GB RAM,Non-removable Li-Ion 2900 mAh battery
Sharp Aquos B10,"Android 7.0 (Nougat), Sharp UI",Mediatek MT6750T (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Mali-T860MP2,32GB 3 RAM,Non-removable Li-Ion 4000 mAh battery
Sharp Aquos C10,Android 8.0 (Oreo); Sharp UI,Qualcomm SDM630 Snapdragon 630 (14 nm),Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex A53),Adreno 508,64GB 4GB RAM,Non-removable Li-Ion 2700 mAh battery
Micromax Infinity N12,Android 8.1 (Oreo),Mediatek MT6762V Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,32GB 3GB RAM,Non-removable Li-Po 4000 mAh battery
Micromax Infinity N11,Android 8.1 (Oreo),Mediatek MT6762V Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,32GB 2GB RAM,Non-removable Li-Po 4000 mAh battery
Micromax Bharat 5 Infinity,Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,16GB 1GB RAM,Non-removable Li-Po 5000 mAh battery
